"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3";"TerminalBlock_Phoenix_MKDS-1,5-12_1x12_P5.00mm_Horizontal";1;"Screw_Terminal_01x12";;;
2;"D4,D7,D6,D5,D8,D1,D3,D2";"D_DO-27_P15.24mm_Horizontal";8;"D_Schottky";;;
3;"C1";"C_Rect_L10.0mm_W3.0mm_P7.50mm_FKS3_FKP3";1;"3.3nF";;;
4;"J4";"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal";1;"Screw_Terminal_01x04";;;
5;"J2,J1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";2;"Screw_Terminal_01x02";;;
6;"U2";"TO127P2020X500X2100-15";1;"L298N";;;
7;"Rs2,Rs1";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";2;"0.5Ohm";;;
8;"C3,C2";"C_Rect_L7.5mm_W6.5mm_P5.00mm";2;"100nF";;;
9;"R1";"R_Axial_DIN0922_L20.0mm_D9.0mm_P25.40mm_Horizontal";1;"22K";;;
10;"C4";"CP_Radial_D13.0mm_P7.50mm";1;"470uF";;;
11;"U1";"CERDIP-20_W7.62mm_SideBrazed_LongPads";1;"L297";;;
